Nama,Pre Test,Progress Test,Final Test,Asal Kota,,
SI-0209,5,3,5.5,Jakarta,,
SI-0210,5,6,5.5,Jakarta,,
SI-0211,5,5.5,5.5,Jakarta,,
SI-0212,5,5.5,5.5,Jakarta,,
SI-0213,5,5,5.5,Jakarta,,
SI-0215,5,5.5,5.5,Yogyakarta,,
SI-0216,5,6,5.5,Yogyakarta,,
SI-0217,5,4.5,5.5,Yogyakarta,,
SI-0218,5.5,6,6,Jakarta,,
SI-0219,5.5,6,6,Jakarta,,
SI-0220,5.5,7,6,Jakarta,,
SI-0221,5.5,4,6,Jakarta,,
SI-0222,5.5,5,6,Jakarta,,
SI-0223,5.5,6.5,6,Jakarta,,
SI-0224,5.5,6,6,Yogyakarta,,
SI-0225,5.5,6,6,Yogyakarta,,
SI-0226,5.5,6.5,6,Jakarta,,
SI-0227,5.5,4,6,Jakarta,,
SI-0228,5.5,5.5,6,Jakarta,,
SI-0229,5.5,5.5,6,Jakarta,,
SI-0230,5.5,6.5,6,Jakarta,,
SI-0231,5.5,6,6,Jakarta,,
SI-0233,5.5,5.5,6,Yogyakarta,,
SI-0234,5.5,6.5,6,Yogyakarta,,
SI-0235,5.5,6,6,Yogyakarta,,
SI-0236,6,7.5,6.5,Jakarta,,
SI-0237,6,6.5,6.5,Yogyakarta,,
SI-0238,6,6,6.5,Jakarta,,
SI-0239,6,7,6.5,Jakarta,,
SI-0240,6,6,6.5,Jakarta,,
SI-0241,6,7,6.5,Jakarta,,
SI-0242,6,7,6.5,Jakarta,,
SI-0243,6,7,6.5,Jakarta,,
SI-0244,6,6.5,6.5,Yogyakarta,,
SI-0245,6,6.5,6.5,Yogyakarta,,
SI-0246,6,6.5,6.5,Yogyakarta,,
SI-0247,6,6.5,6.5,Yogyakarta,,
SI-0248,6,6.5,6.5,Yogyakarta,,
SI-0249,6,6.5,6.5,Yogyakarta,,
SI-0250,6,6.5,6.5,Yogyakarta,,
SI-0251,6,6.5,6.5,Yogyakarta,,
SI-0252,6.5,6.5,7,Jakarta,,
SI-0253,6.5,6.5,7,Jakarta,,
SI-0254,6.5,6.5,7,Jakarta,,
SI-0255,6.5,7.1,7,Jakarta,,
SI-0256,6.5,7,7,Jakarta,,
SI-0257,6.5,7.5,7,Yogyakarta,,
SI-0258,6.5,6.5,7,Yogyakarta,,
SI-0259,4,4.5,4,Jakarta,,
SI-0260,4.5,4.5,4.5,Jakarta,,
SI-0261,4.5,5,4.5,Jakarta,,
SI-0262,4.5,5,4.5,Jakarta,,
SI-0263,4.5,7,4.5,Jakarta,,
SI-0264,4.5,5,4.5,Jakarta,,
SI-0265,4.5,6,4.5,Yogyakarta,,
SI-0266,4.5,5.5,4.5,Yogyakarta,,
SI-0267,4.5,4.5,4.5,Yogyakarta,,
SI-0268,5,5.5,5,Jakarta,,
SI-0269,5,5,5,Jakarta,,
SI-0270,5,4.5,5,Yogyakarta,,
SI-0271,5,5.5,5,Yogyakarta,,
SI-0272,5,5.5,5,Yogyakarta,,
SI-0273,5.5,5.5,5.5,Jakarta,,
SI-0274,5.5,5,5.5,Jakarta,,
SI-0275,5.5,6,5.5,Jakarta,,
SI-0277,5.5,6,5.5,Yogyakarta,,
SI-0278,5.5,6,5.5,Yogyakarta,,
SI-0279,5.5,6,5.5,Yogyakarta,,
SI-0280,6,6,6,Jakarta,,
SI-0281,6,5.5,6,Yogyakarta,,
SI-0282,6.5,6.5,6.5,Jakarta,,
SI-0283,6.5,7,6.5,Jakarta,,
SI-0285,6.5,6,6.5,Yogyakarta,,
SI-0286,7,7,7,Yogyakarta,,
SI-0288,5.5,4.5,5,Jakarta,,
SI-0289,6,5,5.5,Yogyakarta,,
SI-0290,7,6.5,6.5,Yogyakarta,,
SI-0291,5.5,6,4.5,Jakarta,,
SI-0292,7,7,6,Jakarta,,
